zinc_id,smiles
ZINC000024951137,C[C@H](N)/C(O)=N/S(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
ZINC000002568366,CCCCCCCCCOS(C)(=O)=O
ZINC000014724314,C[C@@H]1C[C@H](O)[C@@H](O)CO1
ZINC000077312063,C[C@@H]1CN2CC(=O)Nc3ccc(Cl)cc3[C@@]2(c2ccccc2)O1
ZINC000004216958,O[C@H](CBr)[C@H](O)[C@H](O)[C@@H](O)CBr
ZINC000001846271,Cc1ccc(S(=O)(=O)Oc2ccc(O)c(S(=O)(=O)O)c2)cc1
ZINC000005410794,N[C@@H](CCS(=O)(=O)CC[C@H](N)C(=O)O)C(=O)O
ZINC000040896750,COc1cc(C[C@H]2C(=O)OC[C@@H]2[C@H](O)c2ccc(O)c(OC)c2)ccc1O
ZINC000084732805,O=c1cc(CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)oc2cc(O)cc(O)c12
ZINC000001890055,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)ccc1O
ZINC000014642747,COc1cc(OC)c2c(c1)O[C@@H](c1ccc3c(c1)OCO3)[C@H](O)C2
ZINC000005840520,O=P(O)(O)C(NC1CCCCC1)P(=O)(O)O
ZINC000044032170,CC(C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O
ZINC000006031536,C[C@@H]1C[C@@H]2OC(=O)C3=C2[C@H](CCC3)[C@@]12C[C@@H](c1ccoc1)OC2=O
ZINC000014642643,COc1cc(C(=O)O[C@@H]2Cc3c(O)cc(O)cc3O[C@@H]2c2ccc(O)c(O)c2)cc(O)c1O
ZINC000169370160,COC[C@H]1C(=O)NCC(=O)N2NCCC[C@H]2C(=O)N(O)[C@H](C)C(=O)O[C@@H](C(C)C)[C@H](NC(=O)[C@](C)(O)[C@]2(O)CC[C@@H](CC(C)C)[C@H](C)O2)C(=O)N2NCCC[C@@H]2C(=O)N1O
ZINC000034803731,CCCCCCCCSCC(=O)C(F)(F)F
ZINC000004655434,CCCCC[C@H](O)/C=C/[C@H]1O[C@@H]1C/C=C\C/C=C\CCCC(=O)O
ZINC000053683563,OC[C@@H](O)[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000169291710,CC(=O)OC[C@]12[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]3[C@@H](OC(C)=O)[C@@]14O[C@@]3(C)COC(=O)c1cccnc1CC[C@@](C)(OC(=O)c1ccccc1)C(=O)O[C@@H]([C@H](OC(C)=O)[C@@H]2OC(C)=O)[C@]4(C)O
ZINC000030724793,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C
ZINC000014859991,CC1=CC[C@@H]([C@@]2(C)CC[C@@H](C(C)(C)O)O2)CC1
ZINC000085537113,O=C(O)c1ccc(CCCc2c(CCNS(=O)(=O)Cc3ccccc3C(F)(F)F)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1
